old_env,new_env,old_house,new_house
1.21,1.26,0.6995581579476363,0.7486266372848108
1.26,1.47,0.7486266372848108,0.8493370136260335
1.47,1.68,0.8493370136260335,0.9114071463259252
1.68,1.91,0.9114071463259252,0.9992961791551466
1.91,2.02,0.9992961791551466,1.0102988769888115
2.02,2.09,1.0102988769888115,1.0390866773331224
2.09,2.12,1.0390866773331224,1.039669814252043
2.12,0.64,1.039669814252043,-0.6321944433890914
0.64,0.79,-0.6321944433890914,1.1925579413131637
0.79,2.84,1.1925579413131637,1.28352719436981
2.84,5.72,1.28352719436981,2.106293618095585
5.72,7.07,2.106293618095585,2.227937697042809
7.07,7.65,2.227937697042809,2.328532220725578
7.65,8.19,2.328532220725578,2.4210468354152965
8.19,8.39,2.4210468354152965,2.443144114575459
8.39,8.1,2.443144114575459,2.3784145739177895
8.1,7.03,2.3784145739177895,2.1567534458259736
7.03,4.09,2.1567534458259736,1.3904123683907685
4.09,3.68,1.3904123683907685,1.513138338556403
3.68,3.32,1.513138338556403,1.344195544347472
3.32,2.17,1.344195544347472,0.9087378365912404
2.17,0.97,0.9087378365912404,0.24751194599202594
0.97,0.03,0.24751194599202594,-0.46638175992637826
0.03,0.01,-0.46638175992637826,0.690204143660684
0.01,0.19,0.690204143660684,-0.7072511178221524
0.19,-0.06,-0.7072511178221524,0.8045191842474314
-0.06,-0.32,0.8045191842474314,-1.0604334888371978
-0.32,-0.43,-1.0604334888371978,0.7939984186616481
-0.43,-0.41,0.7939984186616481,-1.09726861736844
-0.41,-0.18,-1.09726861736844,0.9577414146670489
-0.18,0.21,0.9577414146670489,-0.8647204257255919
0.21,0.75,-0.8647204257255919,1.2707165009259902
0.75,1.61,1.2707165009259902,0.5824804709807959
1.61,2.57,0.5824804709807959,1.4097941441995012
2.57,4.28,1.4097941441995012,1.6941681899387968
4.28,5.93,1.6941681899387968,2.058113653339194
5.93,6.69,2.058113653339194,2.1521817643175045
6.69,7.81,2.1521817643175045,2.3786168745055383
7.81,7.35,2.3786168745055383,2.2296598676691612
7.35,6.73,2.2296598676691612,2.1214005120040014
6.73,6.64,2.1214005120040014,2.1256997643119777
6.64,6.52,2.1256997643119777,2.096258628053328
6.52,6.54,2.096258628053328,2.1080183518998767
6.54,6.93,2.1080183518998767,2.195901101620955
6.93,7.23,2.195901101620955,2.2436797673418205
7.23,7.15,2.2436797673418205,2.215021497109719
7.15,6.52,2.215021497109719,2.0748442117157326
6.52,5.49,2.0748442117157326,1.8480140119285535
5.49,5.29,1.8480140119285535,1.855259008352054
5.29,4.68,1.855259008352054,1.6806965792932245
4.68,3.65,1.6806965792932245,1.4033187167236014
3.65,2.79,1.4033187167236014,1.1775743217633436
2.79,2.2,1.1775743217633436,1.0111506703932192
2.2,1.85,1.0111506703932192,0.9158871817024087
1.85,1.5,0.9158871817024087,0.7642727381619675
1.5,1.1,0.7642727381619675,0.5794197630716721
1.1,1.59,0.5794197630716721,1.005276199324508
1.59,3.13,1.005276199324508,1.4576432350460422
3.13,4.83,1.4576432350460422,1.8363977687184108
4.83,6.06,1.8363977687184108,2.0551404407683647
6.06,6.7,2.0551404407683647,2.1551936245339154
6.7,6.89,2.1551936245339154,2.1759610234253013
6.89,6.49,2.1759610234253013,2.0770264746927753
6.49,6.22,2.0770264746927753,2.0354295677589103
6.22,5.81,2.0354295677589103,1.9428253735838148
5.81,4.06,1.9428253735838148,1.4550514171039404
4.06,3.39,1.4550514171039404,1.3910242927052208
3.39,3.26,1.3910242927052208,1.3671048633132643
3.26,1.55,1.3671048633132643,0.4276624097190864
